ParcelID,Community
1,R_V1_ROI
2,R_MST_ROI
3,R_V6_ROI
4,R_V2_ROI
5,R_V3_ROI
6,R_V4_ROI
7,R_V8_ROI
8,R_4_ROI
9,R_3b_ROI
10,R_FEF_ROI
11,R_PEF_ROI
12,R_55b_ROI
13,R_V3A_ROI
14,R_RSC_ROI
15,R_POS2_ROI
16,R_V7_ROI
17,R_IPS1_ROI
18,R_FFC_ROI
19,R_V3B_ROI
20,R_LO1_ROI
21,R_LO2_ROI
22,R_PIT_ROI
23,R_MT_ROI
24,R_A1_ROI
25,R_PSL_ROI
26,R_SFL_ROI
27,R_PCV_ROI
28,R_STV_ROI
29,R_7Pm_ROI
30,R_7m_ROI
31,R_POS1_ROI
32,R_23d_ROI
33,R_v23ab_ROI
34,R_d23ab_ROI
35,R_31pv_ROI
36,R_5m_ROI
37,R_5mv_ROI
38,R_23c_ROI
39,R_5L_ROI
40,R_24dd_ROI
41,R_24dv_ROI
42,R_7AL_ROI
43,R_SCEF_ROI
44,R_6ma_ROI
45,R_7Am_ROI
46,R_7PL_ROI
47,R_7PC_ROI
48,R_LIPv_ROI
49,R_VIP_ROI
50,R_MIP_ROI
51,R_1_ROI
52,R_2_ROI
53,R_3a_ROI
54,R_6d_ROI
55,R_6mp_ROI
56,R_6v_ROI
57,R_p24pr_ROI
58,R_33pr_ROI
59,R_a24pr_ROI
60,R_p32pr_ROI
61,R_a24_ROI
62,R_d32_ROI
63,R_8BM_ROI
64,R_p32_ROI
65,R_10r_ROI
66,R_47m_ROI
67,R_8Av_ROI
68,R_8Ad_ROI
69,R_9m_ROI
70,R_8BL_ROI
71,R_9p_ROI
72,R_10d_ROI
73,R_8C_ROI
74,R_44_ROI
75,R_45_ROI
76,R_47l_ROI
77,R_a47r_ROI
78,R_6r_ROI
79,R_IFJa_ROI
80,R_IFJp_ROI
81,R_IFSp_ROI
82,R_IFSa_ROI
83,R_p9-46v_ROI
84,R_46_ROI
85,R_a9-46v_ROI
86,R_9-46d_ROI
87,R_9a_ROI
88,R_10v_ROI
89,R_a10p_ROI
90,R_10pp_ROI
91,R_11l_ROI
92,R_13l_ROI
93,R_OFC_ROI
94,R_47s_ROI
95,R_LIPd_ROI
96,R_6a_ROI
97,R_i6-8_ROI
98,R_s6-8_ROI
99,R_43_ROI
100,R_OP4_ROI
101,R_OP1_ROI
102,R_OP2-3_ROI
103,R_52_ROI
104,R_RI_ROI
105,R_PFcm_ROI
106,R_PoI2_ROI
107,R_TA2_ROI
108,R_FOP4_ROI
109,R_MI_ROI
110,R_Pir_ROI
111,R_AVI_ROI
112,R_AAIC_ROI
113,R_FOP1_ROI
114,R_FOP3_ROI
115,R_FOP2_ROI
116,R_PFt_ROI
117,R_AIP_ROI
118,R_EC_ROI
119,R_PreS_ROI
120,R_H_ROI
121,R_ProS_ROI
122,R_PeEc_ROI
123,R_STGa_ROI
124,R_PBelt_ROI
125,R_A5_ROI
126,R_PHA1_ROI
127,R_PHA3_ROI
128,R_STSda_ROI
129,R_STSdp_ROI
130,R_STSvp_ROI
131,R_TGd_ROI
132,R_TE1a_ROI
133,R_TE1p_ROI
134,R_TE2a_ROI
135,R_TF_ROI
136,R_TE2p_ROI
137,R_PHT_ROI
138,R_PH_ROI
139,R_TPOJ1_ROI
140,R_TPOJ2_ROI
141,R_TPOJ3_ROI
142,R_DVT_ROI
143,R_PGp_ROI
144,R_IP2_ROI
145,R_IP1_ROI
146,R_IP0_ROI
147,R_PFop_ROI
148,R_PF_ROI
149,R_PFm_ROI
150,R_PGi_ROI
151,R_PGs_ROI
152,R_V6A_ROI
153,R_VMV1_ROI
154,R_VMV3_ROI
155,R_PHA2_ROI
156,R_V4t_ROI
157,R_FST_ROI
158,R_V3CD_ROI
159,R_LO3_ROI
160,R_VMV2_ROI
161,R_31pd_ROI
162,R_31a_ROI
163,R_VVC_ROI
164,R_25_ROI
165,R_s32_ROI
166,R_pOFC_ROI
167,R_PoI1_ROI
168,R_Ig_ROI
169,R_FOP5_ROI
170,R_p10p_ROI
171,R_p47r_ROI
172,R_TGv_ROI
173,R_MBelt_ROI
174,R_LBelt_ROI
175,R_A4_ROI
176,R_STSva_ROI
177,R_TE1m_ROI
178,R_PI_ROI
179,R_a32pr_ROI
180,R_p24_ROI
